1,Jean-Luc,2,2025-02-21T11:35:53.304-03:00
32,Nog,281,2025-02-21T11:35:53.304-03:00
126,Brunt,84,2025-02-21T11:35:53.304-03:00
165,Leeta,282,2025-02-21T11:35:53.304-03:00
178,Kasidy,381,2025-02-21T11:35:53.304-03:00
182,Weyoun,145,2025-02-21T11:35:53.304-03:00
219,Lwaxana,345,2025-02-21T11:35:53.304-03:00
228,Martok,293,2025-02-21T11:35:53.304-03:00
268,Ezri,298,2025-02-21T11:35:53.304-03:00
280,Nerys,492,2025-02-21T11:35:53.304-03:00
284,Nog,269,2025-02-21T11:35:53.304-03:00
343,Odo,254,2025-02-21T11:35:53.304-03:00
357,Brunt,7,2025-02-21T11:35:53.304-03:00
368,Elim,383,2025-02-21T11:35:53.304-03:00
398,Lwaxana,124,2025-02-21T11:35:53.304-03:00
420,Jadzia,391,2025-02-21T11:35:53.304-03:00
459,Geordi,84,2025-02-21T11:35:53.304-03:00
