95,Odo,173,2025-02-21T11:35:53.304-03:00
119,Worf,344,2025-02-21T11:35:53.304-03:00
171,Weyoun,126,2025-02-21T11:35:53.304-03:00
217,Keiko,260,2025-02-21T11:35:53.304-03:00
259,Kasidy,11,2025-02-21T11:35:53.304-03:00
264,Julian,228,2025-02-21T11:35:53.304-03:00
272,Quark,367,2025-02-21T11:35:53.304-03:00
305,Quark,182,2025-02-21T11:35:53.304-03:00
323,Nog,236,2025-02-21T11:35:53.304-03:00
333,Ben,207,2025-02-21T11:35:53.304-03:00
346,Hugh,329,2025-02-21T11:35:53.304-03:00
400,Data,128,2025-02-21T11:35:53.304-03:00
